MQ3:186, MQ135:1914, MQ138:3011, MQ131:1096, TGS2602:903
MQ3:205, MQ135:1918, MQ138:3013, MQ131:1105, TGS2602:809
MQ3:203, MQ135:1968, MQ138:3014, MQ131:1100, TGS2602:807
MQ3:202, MQ135:1950, MQ138:3011, MQ131:1098, TGS2602:804
MQ3:201, MQ135:1938, MQ138:3015, MQ131:1097, TGS2602:806
MQ3:200, MQ135:1968, MQ138:3011, MQ131:1097, TGS2602:804
MQ3:197, MQ135:1976, MQ138:3014, MQ131:1097, TGS2602:804
MQ3:198, MQ135:2013, MQ138:3012, MQ131:1096, TGS2602:802
MQ3:194, MQ135:2027, MQ138:3011, MQ131:1094, TGS2602:800
MQ3:200, MQ135:2014, MQ138:3014, MQ131:1095, TGS2602:796
MQ3:198, MQ135:2006, MQ138:3013, MQ131:1102, TGS2602:792
MQ3:198, MQ135:1974, MQ138:3011, MQ131:1103, TGS2602:790
MQ3:195, MQ135:2013, MQ138:3011, MQ131:1101, TGS2602:781
MQ3:196, MQ135:1926, MQ138:3013, MQ131:1100, TGS2602:782
MQ3:201, MQ135:1995, MQ138:3015, MQ131:1108, TGS2602:789
MQ3:194, MQ135:2026, MQ138:3010, MQ131:1111, TGS2602:792
MQ3:197, MQ135:1920, MQ138:3015, MQ131:1107, TGS2602:790
MQ3:189, MQ135:2006, MQ138:3012, MQ131:1090, TGS2602:770
MQ3:188, MQ135:1947, MQ138:3011, MQ131:1081, TGS2602:754
MQ3:190, MQ135:1940, MQ138:3010, MQ131:1074, TGS2602:744
MQ3:193, MQ135:1919, MQ138:3011, MQ131:1071, TGS2602:741
MQ3:194, MQ135:1921, MQ138:3008, MQ131:1074, TGS2602:741
MQ3:192, MQ135:1995, MQ138:3009, MQ131:1075, TGS2602:742
MQ3:188, MQ135:2027, MQ138:3006, MQ131:1074, TGS2602:742
MQ3:186, MQ135:1975, MQ138:3007, MQ131:1072, TGS2602:739
MQ3:185, MQ135:1961, MQ138:3011, MQ131:1071, TGS2602:740
MQ3:184, MQ135:1933, MQ138:3013, MQ131:1070, TGS2602:742
MQ3:182, MQ135:1928, MQ138:3010, MQ131:1070, TGS2602:739
MQ3:181, MQ135:1973, MQ138:3009, MQ131:1071, TGS2602:739
MQ3:180, MQ135:2002, MQ138:3012, MQ131:1072, TGS2602:739
MQ3:180, MQ135:1919, MQ138:3013, MQ131:1070, TGS2602:739
MQ3:180, MQ135:1931, MQ138:3010, MQ131:1070, TGS2602:740
MQ3:179, MQ135:2028, MQ138:3008, MQ131:1070, TGS2602:740
MQ3:178, MQ135:1997, MQ138:3013, MQ131:1070, TGS2602:740
MQ3:178, MQ135:2017, MQ138:3011, MQ131:1072, TGS2602:742
MQ3:177, MQ135:2015, MQ138:3012, MQ131:1068, TGS2602:743
MQ3:177, MQ135:1919, MQ138:3013, MQ131:1069, TGS2602:743
MQ3:177, MQ135:2025, MQ138:3011, MQ131:1070, TGS2602:743
MQ3:177, MQ135:1920, MQ138:3009, MQ131:1070, TGS2602:744
MQ3:175, MQ135:2017, MQ138:3013, MQ131:1067, TGS2602:745
MQ3:181, MQ135:1986, MQ138:3015, MQ131:1088, TGS2602:745
MQ3:191, MQ135:2029, MQ138:3014, MQ131:1122, TGS2602:746
MQ3:188, MQ135:2017, MQ138:3015, MQ131:1136, TGS2602:751
MQ3:192, MQ135:2015, MQ138:3013, MQ131:1133, TGS2602:752
MQ3:191, MQ135:1991, MQ138:3017, MQ131:1124, TGS2602:754
MQ3:191, MQ135:1923, MQ138:3015, MQ131:1124, TGS2602:756
MQ3:187, MQ135:1963, MQ138:3018, MQ131:1116, TGS2602:758
MQ3:187, MQ135:2018, MQ138:3015, MQ131:1114, TGS2602:757
MQ3:182, MQ135:1924, MQ138:3016, MQ131:1104, TGS2602:758
MQ3:181, MQ135:2018, MQ138:3015, MQ131:1105, TGS2602:757
MQ3:181, MQ135:2030, MQ138:3012, MQ131:1102, TGS2602:756
MQ3:182, MQ135:1992, MQ138:3012, MQ131:1096, TGS2602:756
MQ3:179, MQ135:2021, MQ138:3014, MQ131:1088, TGS2602:754
MQ3:178, MQ135:1921, MQ138:3017, MQ131:1084, TGS2602:751
MQ3:176, MQ135:2021, MQ138:3012, MQ131:1081, TGS2602:749
MQ3:175, MQ135:2029, MQ138:3011, MQ131:1081, TGS2602:745
MQ3:174, MQ135:1955, MQ138:3014, MQ131:1079, TGS2602:745
MQ3:174, MQ135:1975, MQ138:3013, MQ131:1080, TGS2602:745
MQ3:175, MQ135:1963, MQ138:3014, MQ131:1079, TGS2602:742
MQ3:174, MQ135:1923, MQ138:3010, MQ131:1085, TGS2602:747
MQ3:180, MQ135:1957, MQ138:3011, MQ131:1095, TGS2602:758
MQ3:176, MQ135:1922, MQ138:3013, MQ131:1096, TGS2602:762
MQ3:173, MQ135:2025, MQ138:3013, MQ131:1096, TGS2602:760
MQ3:171, MQ135:1940, MQ138:3012, MQ131:1095, TGS2602:760
MQ3:170, MQ135:2009, MQ138:3013, MQ131:1092, TGS2602:760
MQ3:170, MQ135:1932, MQ138:3011, MQ131:1093, TGS2602:759
MQ3:172, MQ135:2018, MQ138:3013, MQ131:1098, TGS2602:760
MQ3:170, MQ135:1925, MQ138:3012, MQ131:1108, TGS2602:764
MQ3:169, MQ135:2013, MQ138:3012, MQ131:1105, TGS2602:763
MQ3:170, MQ135:2033, MQ138:3013, MQ131:1116, TGS2602:772
MQ3:172, MQ135:1930, MQ138:3012, MQ131:1115, TGS2602:776
MQ3:168, MQ135:2012, MQ138:3013, MQ131:1098, TGS2602:761
MQ3:169, MQ135:2005, MQ138:3012, MQ131:1105, TGS2602:762
MQ3:171, MQ135:1969, MQ138:3012, MQ131:1106, TGS2602:765
MQ3:172, MQ135:1943, MQ138:3012, MQ131:1122, TGS2602:768
MQ3:178, MQ135:1985, MQ138:3016, MQ131:1135, TGS2602:773
MQ3:176, MQ135:2018, MQ138:3013, MQ131:1134, TGS2602:772
MQ3:171, MQ135:1926, MQ138:3010, MQ131:1099, TGS2602:732
MQ3:173, MQ135:1980, MQ138:3015, MQ131:1072, TGS2602:699
MQ3:175, MQ135:2017, MQ138:3016, MQ131:1067, TGS2602:688
MQ3:171, MQ135:1924, MQ138:3014, MQ131:1063, TGS2602:688
MQ3:169, MQ135:2010, MQ138:3013, MQ131:1063, TGS2602:692
MQ3:168, MQ135:1936, MQ138:3017, MQ131:1059, TGS2602:696
MQ3:169, MQ135:1925, MQ138:3013, MQ131:1059, TGS2602:695
MQ3:169, MQ135:1951, MQ138:3014, MQ131:1059, TGS2602:696
MQ3:169, MQ135:2013, MQ138:3015, MQ131:1060, TGS2602:696
MQ3:170, MQ135:1938, MQ138:3016, MQ131:1058, TGS2602:696
MQ3:169, MQ135:1932, MQ138:3020, MQ131:1057, TGS2602:698
MQ3:170, MQ135:2015, MQ138:3020, MQ131:1056, TGS2602:699
MQ3:170, MQ135:1924, MQ138:3020, MQ131:1062, TGS2602:700
MQ3:169, MQ135:1958, MQ138:3018, MQ131:1062, TGS2602:700
MQ3:169, MQ135:1932, MQ138:3020, MQ131:1064, TGS2602:702
MQ3:169, MQ135:1973, MQ138:3014, MQ131:1063, TGS2602:701
MQ3:196, MQ135:1963, MQ138:3014, MQ131:1167, TGS2602:732
MQ3:287, MQ135:2003, MQ138:3015, MQ131:1235, TGS2602:833
MQ3:337, MQ135:1953, MQ138:3020, MQ131:1248, TGS2602:937
MQ3:350, MQ135:2024, MQ138:3023, MQ131:1234, TGS2602:1043
MQ3:351, MQ135:2008, MQ138:3019, MQ131:1212, TGS2602:1215
MQ3:337, MQ135:1927, MQ138:3025, MQ131:1187, TGS2602:1309
MQ3:318, MQ135:2007, MQ138:3028, MQ131:1188, TGS2602:1338
MQ3:303, MQ135:2025, MQ138:3031, MQ131:1419, TGS2602:1450
MQ3:377, MQ135:2025, MQ138:3018, MQ131:1496, TGS2602:1955
MQ3:863, MQ135:2040, MQ138:3026, MQ131:1506, TGS2602:2113
MQ3:992, MQ135:2051, MQ138:3019, MQ131:1443, TGS2602:2144
MQ3:961, MQ135:1996, MQ138:3015, MQ131:1368, TGS2602:2151
MQ3:866, MQ135:2035, MQ138:3016, MQ131:1311, TGS2602:2136
MQ3:795, MQ135:2038, MQ138:2971, MQ131:1314, TGS2602:2108
MQ3:710, MQ135:1995, MQ138:3000, MQ131:1303, TGS2602:2079
MQ3:641, MQ135:1952, MQ138:3004, MQ131:1260, TGS2602:2047
MQ3:584, MQ135:1934, MQ138:3012, MQ131:1233, TGS2602:2002
MQ3:538, MQ135:1933, MQ138:3013, MQ131:1215, TGS2602:1951
MQ3:504, MQ135:2041, MQ138:3025, MQ131:1199, TGS2602:1901
MQ3:477, MQ135:1937, MQ138:3022, MQ131:1186, TGS2602:1848
MQ3:455, MQ135:1966, MQ138:3029, MQ131:1177, TGS2602:1795
MQ3:437, MQ135:2000, MQ138:3027, MQ131:1170, TGS2602:1744
MQ3:419, MQ135:2021, MQ138:3027, MQ131:1161, TGS2602:1690
MQ3:406, MQ135:1980, MQ138:3029, MQ131:1154, TGS2602:1637
MQ3:392, MQ135:1936, MQ138:3029, MQ131:1146, TGS2602:1585
MQ3:375, MQ135:1930, MQ138:3030, MQ131:1138, TGS2602:1534
MQ3:360, MQ135:1985, MQ138:3028, MQ131:1130, TGS2602:1482
MQ3:348, MQ135:1948, MQ138:3029, MQ131:1122, TGS2602:1432
MQ3:340, MQ135:2020, MQ138:3027, MQ131:1118, TGS2602:1384
MQ3:327, MQ135:1945, MQ138:3027, MQ131:1113, TGS2602:1338
MQ3:319, MQ135:2031, MQ138:3025, MQ131:1109, TGS2602:1294
MQ3:312, MQ135:1953, MQ138:3023, MQ131:1105, TGS2602:1252
MQ3:306, MQ135:1995, MQ138:3028, MQ131:1103, TGS2602:1213
MQ3:303, MQ135:2034, MQ138:3025, MQ131:1103, TGS2602:1174
MQ3:297, MQ135:2026, MQ138:3022, MQ131:1102, TGS2602:1141
MQ3:292, MQ135:2026, MQ138:3025, MQ131:1112, TGS2602:1121
MQ3:297, MQ135:1993, MQ138:3021, MQ131:1127, TGS2602:1121
MQ3:338, MQ135:1995, MQ138:3025, MQ131:1300, TGS2602:1219
MQ3:647, MQ135:2032, MQ138:3022, MQ131:1484, TGS2602:1382
MQ3:826, MQ135:2030, MQ138:3025, MQ131:1485, TGS2602:1493
MQ3:868, MQ135:2046, MQ138:3026, MQ131:1483, TGS2602:1560
MQ3:909, MQ135:2000, MQ138:3020, MQ131:1455, TGS2602:1617
MQ3:886, MQ135:2048, MQ138:3023, MQ131:1457, TGS2602:1657
MQ3:850, MQ135:1952, MQ138:3019, MQ131:1435, TGS2602:1689
MQ3:774, MQ135:1965, MQ138:3014, MQ131:1383, TGS2602:1683
MQ3:701, MQ135:2037, MQ138:3018, MQ131:1343, TGS2602:1663
MQ3:640, MQ135:1979, MQ138:3019, MQ131:1395, TGS2602:1660
MQ3:626, MQ135:1963, MQ138:3015, MQ131:1384, TGS2602:1681
MQ3:605, MQ135:2033, MQ138:3000, MQ131:1347, TGS2602:1697
MQ3:581, MQ135:1940, MQ138:2990, MQ131:1322, TGS2602:1695
MQ3:563, MQ135:1936, MQ138:3005, MQ131:1306, TGS2602:1687
MQ3:547, MQ135:1960, MQ138:3011, MQ131:1285, TGS2602:1677
MQ3:527, MQ135:2044, MQ138:3014, MQ131:1266, TGS2602:1665
MQ3:489, MQ135:1942, MQ138:3018, MQ131:1250, TGS2602:1642
MQ3:467, MQ135:2029, MQ138:3018, MQ131:1234, TGS2602:1609
MQ3:448, MQ135:1940, MQ138:3019, MQ131:1218, TGS2602:1572
MQ3:432, MQ135:1988, MQ138:3019, MQ131:1203, TGS2602:1537
MQ3:418, MQ135:1984, MQ138:3023, MQ131:1193, TGS2602:1500
MQ3:404, MQ135:2039, MQ138:3021, MQ131:1178, TGS2602:1459
MQ3:391, MQ135:1932, MQ138:3024, MQ131:1168, TGS2602:1418
MQ3:382, MQ135:1980, MQ138:3021, MQ131:1161, TGS2602:1379
MQ3:367, MQ135:2013, MQ138:3027, MQ131:1153, TGS2602:1341
MQ3:360, MQ135:1933, MQ138:3023, MQ131:1147, TGS2602:1305
MQ3:352, MQ135:2006, MQ138:3022, MQ131:1144, TGS2602:1271
MQ3:342, MQ135:1963, MQ138:3024, MQ131:1139, TGS2602:1238
MQ3:335, MQ135:1969, MQ138:3022, MQ131:1134, TGS2602:1205
MQ3:328, MQ135:1952, MQ138:3023, MQ131:1129, TGS2602:1173
MQ3:321, MQ135:1929, MQ138:3021, MQ131:1125, TGS2602:1145
MQ3:315, MQ135:2039, MQ138:3023, MQ131:1121, TGS2602:1118
MQ3:311, MQ135:1991, MQ138:3023, MQ131:1119, TGS2602:1093
MQ3:308, MQ135:1953, MQ138:3021, MQ131:1118, TGS2602:1069
MQ3:303, MQ135:1931, MQ138:3021, MQ131:1117, TGS2602:1048
MQ3:300, MQ135:1962, MQ138:3024, MQ131:1115, TGS2602:1030
MQ3:296, MQ135:2016, MQ138:3020, MQ131:1115, TGS2602:1014
MQ3:291, MQ135:2026, MQ138:3019, MQ131:1112, TGS2602:998
MQ3:287, MQ135:2026, MQ138:3022, MQ131:1111, TGS2602:984
MQ3:283, MQ135:1976, MQ138:3019, MQ131:1110, TGS2602:971
MQ3:281, MQ135:2015, MQ138:3024, MQ131:1108, TGS2602:961
MQ3:276, MQ135:1962, MQ138:3019, MQ131:1108, TGS2602:946
MQ3:275, MQ135:2024, MQ138:3020, MQ131:1106, TGS2602:937
MQ3:272, MQ135:2013, MQ138:3021, MQ131:1105, TGS2602:928
MQ3:270, MQ135:2015, MQ138:3017, MQ131:1105, TGS2602:919
MQ3:267, MQ135:1928, MQ138:3018, MQ131:1103, TGS2602:911
MQ3:266, MQ135:1959, MQ138:3021, MQ131:1102, TGS2602:904
MQ3:264, MQ135:2038, MQ138:3016, MQ131:1101, TGS2602:898
MQ3:260, MQ135:1970, MQ138:3017, MQ131:1101, TGS2602:893
MQ3:259, MQ135:1937, MQ138:3021, MQ131:1099, TGS2602:886
MQ3:257, MQ135:1963, MQ138:3021, MQ131:1098, TGS2602:880
MQ3:254, MQ135:1943, MQ138:3019, MQ131:1097, TGS2602:874
MQ3:251, MQ135:1933, MQ138:3020, MQ131:1096, TGS2602:870
MQ3:251, MQ135:1989, MQ138:3016, MQ131:1095, TGS2602:864
MQ3:247, MQ135:1940, MQ138:3019, MQ131:1095, TGS2602:859
MQ3:244, MQ135:1956, MQ138:3019, MQ131:1094, TGS2602:855
MQ3:243, MQ135:2024, MQ138:3016, MQ131:1094, TGS2602:850
MQ3:242, MQ135:1992, MQ138:3016, MQ131:1092, TGS2602:847
MQ3:242, MQ135:2006, MQ138:3016, MQ131:1092, TGS2602:843
MQ3:241, MQ135:1975, MQ138:3020, MQ131:1090, TGS2602:840
MQ3:239, MQ135:2027, MQ138:3015, MQ131:1091, TGS2602:838
MQ3:238, MQ135:1933, MQ138:3017, MQ131:1090, TGS2602:837
MQ3:237, MQ135:1991, MQ138:3018, MQ131:1090, TGS2602:835
MQ3:235, MQ135:2027, MQ138:3017, MQ131:1092, TGS2602:835
MQ3:234, MQ135:1957, MQ138:3016, MQ131:1091, TGS2602:833
MQ3:232, MQ135:2013, MQ138:3017, MQ131:1090, TGS2602:831
MQ3:230, MQ135:1928, MQ138:3017, MQ131:1088, TGS2602:829
MQ3:229, MQ135:1955, MQ138:3015, MQ131:1088, TGS2602:828
MQ3:230, MQ135:1927, MQ138:3019, MQ131:1089, TGS2602:826
MQ3:228, MQ135:1929, MQ138:3017, MQ131:1090, TGS2602:826
MQ3:228, MQ135:2027, MQ138:3016, MQ131:1089, TGS2602:825
MQ3:228, MQ135:2035, MQ138:3013, MQ131:1090, TGS2602:826
MQ3:225, MQ135:1928, MQ138:3013, MQ131:1089, TGS2602:825
MQ3:225, MQ135:2037, MQ138:3017, MQ131:1088, TGS2602:824
MQ3:224, MQ135:2027, MQ138:3011, MQ131:1088, TGS2602:823
MQ3:223, MQ135:1989, MQ138:3013, MQ131:1086, TGS2602:821
MQ3:222, MQ135:2005, MQ138:3014, MQ131:1085, TGS2602:817
MQ3:222, MQ135:2036, MQ138:3016, MQ131:1084, TGS2602:814
MQ3:219, MQ135:1981, MQ138:3018, MQ131:1082, TGS2602:811
MQ3:218, MQ135:1936, MQ138:3015, MQ131:1083, TGS2602:808
MQ3:218, MQ135:1932, MQ138:3013, MQ131:1083, TGS2602:807
MQ3:218, MQ135:2020, MQ138:3016, MQ131:1083, TGS2602:804
MQ3:216, MQ135:2026, MQ138:3014, MQ131:1082, TGS2602:802
MQ3:216, MQ135:2039, MQ138:3014, MQ131:1082, TGS2602:800
MQ3:216, MQ135:1975, MQ138:3011, MQ131:1084, TGS2602:798
MQ3:214, MQ135:2015, MQ138:3013, MQ131:1083, TGS2602:796
MQ3:214, MQ135:2026, MQ138:3016, MQ131:1083, TGS2602:796
MQ3:213, MQ135:1927, MQ138:3013, MQ131:1083, TGS2602:796
MQ3:213, MQ135:1931, MQ138:3010, MQ131:1082, TGS2602:794
MQ3:213, MQ135:1944, MQ138:3012, MQ131:1082, TGS2602:792
MQ3:210, MQ135:1934, MQ138:3004, MQ131:1081, TGS2602:799
